pressure,p_std,temp,t_std
#BMP280sensor, ultra low power mode, IIR 8 samples, RMS of 0.9Pa, 0.003C, mean of 101,325Pa (1,013.25hPa) and 23.2C
101324.96089112277,0.9,23.20378426554338,0.003
101325.0915877834,0.9,23.200990711497404,0.003
101324.19395486401,0.9,23.196779213668805,0.003
101324.47977883054,0.9,23.207489259032982,0.003
101324.37177135538,0.9,23.202309298908432,0.003
101322.93321325972,0.9,23.199016827709777,0.003
101324.12199310688,0.9,23.205473501601464,0.003
101325.21908613668,0.9,23.20460033303399,0.003
101325.46258043926,0.9,23.199211358467082,0.003
101324.00568739146,0.9,23.202865723374916,0.003
101325.36842831977,0.9,23.196934346428186,0.003
101324.99262167487,0.9,23.19765269884074,0.003
101325.47546686653,0.9,23.19811655890624,0.003
101325.10706840166,0.9,23.199305781538886,0.003
101325.01167301334,0.9,23.20155442661445,0.003
101326.03478204188,0.9,23.202348833785162,0.003
101325.54475648372,0.9,23.199150364179456,0.003
101324.16187536693,0.9,23.19969886364528,0.003
101325.91598717764,0.9,23.20332861267593,0.003
101323.60068840535,0.9,23.20104736411264,0.003
101325.58852804563,0.9,23.202155164420656,0.003
101324.9034428827,0.9,23.200867769294337,0.003
101324.87074808689,0.9,23.19603998447394,0.003
101325.17623688599,0.9,23.203213633337512,0.003
101327.01183705719,0.9,23.19408512845071,0.003
101325.17331542446,0.9,23.19780854526497,0.003
101323.5706875386,0.9,23.20050713451509,0.003
101324.33216313139,0.9,23.205749926563772,0.003
101324.98391304568,0.9,23.19845666547755,0.003
101325.86138472591,0.9,23.201469822138076,0.003
101324.56750169393,0.9,23.19661366031702,0.003
101326.23332176982,0.9,23.202858541505904,0.003
101324.16157104247,0.9,23.201739614645504,0.003
101324.989015118,0.9,23.200629396846445,0.003
101326.29834416209,0.9,23.19353731263189,0.003
101324.00434033557,0.9,23.197866972717367,0.003
101325.96917429521,0.9,23.197634628498488,0.003
101325.43744614118,0.9,23.20570729815383,0.003
101323.69758428715,0.9,23.19816028571078,0.003
101323.24758757553,0.9,23.19832412707584,0.003
101324.03951031298,0.9,23.199234898108262,0.003
101324.7614576594,0.9,23.200883595677467,0.003
101324.05852652367,0.9,23.199548641838437,0.003
101325.5684821447,0.9,23.199141522540693,0.003
101323.54196891116,0.9,23.198635019006314,0.003
101325.50108285606,0.9,23.203045505101212,0.003
101324.71993188954,0.9,23.192034981364127,0.003
101326.20544498003,0.9,23.204747588974293,0.003
101324.18247667702,0.9,23.20084090929443,0.003
101325.92156098134,0.9,23.196891577200184,0.003
101324.20225774431,0.9,23.202229731217653,0.003
101324.40793020361,0.9,23.200606514226205,0.003
101324.50582889779,0.9,23.19927241601196,0.003
101324.98730313109,0.9,23.199201020621185,0.003
101326.31613782629,0.9,23.194715971009384,0.003
101325.93684770548,0.9,23.200000578654567,0.003
101323.42859370142,0.9,23.198718040646398,0.003
101324.86450004317,0.9,23.19925851123242,0.003
101323.69601228579,0.9,23.20267002128208,0.003
101326.25337181741,0.9,23.200110271930235,0.003
101324.68894984304,0.9,23.203153613928567,0.003
101327.3790032871,0.9,23.197009888890577,0.003
101324.0515802323,0.9,23.205896459553937,0.003
101324.23444380355,0.9,23.19663491407111,0.003
101324.46317503616,0.9,23.203160040543374,0.003
101324.0007129513,0.9,23.200813133691238,0.003
101325.97304225154,0.9,23.203137379963245,0.003
101324.06700913176,0.9,23.200158219761338,0.003
101326.12328558152,0.9,23.197064265500916,0.003
101326.36218906361,0.9,23.196237818344716,0.003
101325.10942120233,0.9,23.197442971226653,0.003
101325.19473248506,0.9,23.198752908985192,0.003
101324.79223806738,0.9,23.205155508549623,0.003
101324.81832193193,0.9,23.197769280670407,0.003
101324.78688682447,0.9,23.200092361301767,0.003
101325.8920469232,0.9,23.1998054843588,0.003
101326.71350048887,0.9,23.203474550674112,0.003
101324.86437832107,0.9,23.199351906967063,0.003
101324.78115593467,0.9,23.198707151542827,0.003
101323.76188935274,0.9,23.204747651778966,0.003
101326.06504406349,0.9,23.200841117845968,0.003
101325.17074512514,0.9,23.193746088517898,0.003
101326.2871475224,0.9,23.20093101486471,0.003
101322.96966744501,0.9,23.201750507277776,0.003
101326.9455161499,0.9,23.201798176113172,0.003
101324.40898856487,0.9,23.19539483702139,0.003
101325.23026071246,0.9,23.198909911370084,0.003
101325.27014944839,0.9,23.20022950454223,0.003
101326.02572561886,0.9,23.199137401530255,0.003
101324.60601146544,0.9,23.201905724127943,0.003
101325.48487127402,0.9,23.19905092948662,0.003
101324.19197882719,0.9,23.202247965268064,0.003
101324.0181839049,0.9,23.201421473727983,0.003
101323.1414218164,0.9,23.20217070544677,0.003
101326.03519149403,0.9,23.203104587325083,0.003
101324.39125833607,0.9,23.195706313561427,0.003
101325.02320864628,0.9,23.196743000452475,0.003
101325.30521262962,0.9,23.200852447480976,0.003
101325.2423647852,0.9,23.19963405649768,0.003
101323.73166087318,0.9,23.204032629894414,0.003
101325.67551657005,0.9,23.206020614014655,0.003
101324.88200771439,0.9,23.200206500809696,0.003
101325.1466713306,0.9,23.195664961876794,0.003
101325.0779932967,0.9,23.19616766736207,0.003
101326.17633465162,0.9,23.20260567343371,0.003
101325.94967750087,0.9,23.197380000701553,0.003
101326.08967270574,0.9,23.197676468198498,0.003
101324.98541387779,0.9,23.206657568197,0.003
101325.27467704251,0.9,23.202118436927766,0.003
101324.82188364767,0.9,23.20426957370149,0.003
101325.57175753225,0.9,23.199431832899425,0.003
101326.25687932788,0.9,23.201050021625438,0.003
101324.15322121988,0.9,23.199535604130435,0.003
101324.5680554743,0.9,23.20312689578504,0.003
101324.6178860979,0.9,23.19323888189353,0.003
101324.37695647369,0.9,23.195922144391332,0.003
101325.33484144146,0.9,23.199732414999914,0.003
101324.54007400932,0.9,23.200488712021684,0.003
101326.57729378897,0.9,23.203182890843003,0.003
101325.74839959646,0.9,23.19478098780861,0.003
101325.29661020279,0.9,23.197330294073137,0.003
101323.696347018,0.9,23.194134955724852,0.003
101324.91659131169,0.9,23.2013461592084,0.003
101326.4358506879,0.9,23.19630143615402,0.003
101326.04866070075,0.9,23.202024685201806,0.003
101324.2607327175,0.9,23.199045218005697,0.003
101325.7463273818,0.9,23.19785452526257,0.003
101325.14918969187,0.9,23.1942114257325,0.003
101325.19399583848,0.9,23.20307853647844,0.003
101323.88771577769,0.9,23.202211568784495,0.003
101324.67681572103,0.9,23.195831730216685,0.003
101324.74269304206,0.9,23.191788142406804,0.003
101325.14239218937,0.9,23.19590521775157,0.003
101326.02447454236,0.9,23.19665717721622,0.003
101324.54424998742,0.9,23.20480217507117,0.003
101325.70359393403,0.9,23.201360862060852,0.003
101325.86928548153,0.9,23.197548176516772,0.003
101326.21070577108,0.9,23.20035071345804,0.003
101324.59261235342,0.9,23.20010780031486,0.003
101324.56779336475,0.9,23.199922948492446,0.003
101324.7640864596,0.9,23.197048142470493,0.003
101324.03145410112,0.9,23.204587425794475,0.003
101326.05153470255,0.9,23.198764156555498,0.003
101322.91635527647,0.9,23.201470899260933,0.003
101326.37954819895,0.9,23.20705601605349,0.003
101325.14791048336,0.9,23.197019258635688,0.003
101324.6116847567,0.9,23.2001823585199,0.003
101325.6096903031,0.9,23.20531680739969,0.003
101325.19104230903,0.9,23.19748888638759,0.003
101324.86347721898,0.9,23.201116161990488,0.003
101324.6210448243,0.9,23.20638128716443,0.003
101325.14890108675,0.9,23.19806979252246,0.003
101325.62456090609,0.9,23.202975064419885,0.003
101326.25734591362,0.9,23.1999649798502,0.003
101326.19722988397,0.9,23.199952603211067,0.003
101323.57085700308,0.9,23.19137339693809,0.003
101325.68204540673,0.9,23.198524893745446,0.003
101324.49370647705,0.9,23.199405349313732,0.003
101324.80733707864,0.9,23.203205512031413,0.003
101325.00238082904,0.9,23.20377096728696,0.003
101324.6301405044,0.9,23.199638507129624,0.003
101324.05883426599,0.9,23.20127739076998,0.003
101326.11914092558,0.9,23.201694500591632,0.003
101325.92315455028,0.9,23.194748613530706,0.003
101325.44257261202,0.9,23.20263249020154,0.003
101324.88184754219,0.9,23.205691963812495,0.003
101324.00552178003,0.9,23.2007026248274,0.003
101325.31943096584,0.9,23.19569381601275,0.003
101323.23964758632,0.9,23.19317884945167,0.003
101324.37018167446,0.9,23.199707279095364,0.003
101324.56932288758,0.9,23.19837051745622,0.003
101323.89215635555,0.9,23.200948169843915,0.003
101326.69479944771,0.9,23.201780737434728,0.003
101323.17114336306,0.9,23.198522634106915,0.003
101326.39757598349,0.9,23.203418560384655,0.003
101326.10493204009,0.9,23.196790092808417,0.003
101324.6020422918,0.9,23.19825255795959,0.003
101326.46808605694,0.9,23.2018707083546,0.003
101323.98674248131,0.9,23.20257974011384,0.003
101326.39507614016,0.9,23.202575181490943,0.003
101324.0217488455,0.9,23.1971122835725,0.003
101325.15227585443,0.9,23.200217215285786,0.003
101323.75023114812,0.9,23.197768138504415,0.003
101323.74146265324,0.9,23.199959269265353,0.003
101325.2131100301,0.9,23.195967262187462,0.003
101325.2790460161,0.9,23.204183619738906,0.003
101325.14153558013,0.9,23.198632763744556,0.003
101325.93211973357,0.9,23.200085202073822,0.003
101322.88217317009,0.9,23.198027379973727,0.003
101325.24017880156,0.9,23.20290947880925,0.003
101324.99826728676,0.9,23.203440932536363,0.003
101325.44522495157,0.9,23.207292377320798,0.003
101323.73228185024,0.9,23.199684968171947,0.003
101324.43802779779,0.9,23.20290041647858,0.003
101326.03697086785,0.9,23.201137078872893,0.003
101325.54996011936,0.9,23.200340983666383,0.003
